"TeamId","TeamName","State","City","Division","Arena","Founded","ArenaCapacity","Rings"
1,"Portland Trail Blazers","Oregon","Portland","Northwest","Moda Center",1970,19441,0
2,"Los Angeles Lakers","California","Los Angeles","Pacific","Staples Center",1947,18997,16
3,"Golden State Warriors","California","Oakland","Pacific","Oracle Arena",1946,19596,5
4,"Dallas Mavericks","Texas","Dallas","Southwest","American Airlines Center",1980,19200,1
5,"Houston Rockets","Texas","Houston","Southwest","Toyota Center",1967,18055,2
6,"Brooklyn Nets","New York","New York City","Atlantic","Barclays Center",1967,17732,0
7,"New York Knicks","New York","New York City","Atlantic","Madison Square Garden",1946,19812,2
8,"Utah Jazz","Utah","Salt Lake City","Northwest","Vivint Smart Home Arena",1974,19911,0
9,"Memphis Grizzlies","Tennessee","Memphis","Southwest","FedExForum",1995,18119,0
10,"Denver Nuggets","Colorado","Denver","Northwest","Pepsi Center",1967,19520,0
11,"Sacramento Kings","California","Sacramento","Pacific","Golden 1 Center",1923,17500,1
12,"New Orleans Pelicans","Louisiana","New Orleans","Southwest","Smoothie King Center",2002,16867,0
13,"Los Angeles Clippers","California","Los Angeles","Pacific","Staples Center",1970,18997,0
14,"Minnesota Timberwolves","Minnesota","Minneapolis","Northwest","Target Center",1989,19356,0
15,"Boston Celtics","Massachusetts","Boston","Atlantic","TD Garden",1946,18624,17
16,"Chicago Bulls","Illinois","Chicago","Central","United Center",1966,20917,6
17,"Toronto Raptors","Ontario","Toronto","Atlantic","Air Canada Center",1995,19800,0
18,"Miami Heat","Florida","Miami","Southeast","American Airlines Arena",1988,19600,3
19,"Milwaukee Bucks","Wisconsin","Milwaukee","Central","Bradley Center",1968,18717,1
20,"Detroit Pistons","Michigan","Detroit","Central","Little Caesars Arena",1941,20491,3
21,"Philadelphia 76ers","Pennsylvania","Philadelphia","Atlantic","Wells Fargo Center",1946,21600,3
22,"Atlanta Hawks","Georgia","Atlanta","Southeast","Philips Arena",1946,15711,1
23,"Washington Wizards","D.C.","Washington","Southeast","Capital Arena",1961,20356,1
24,"Charlotte Bobcats","North Carolina","Charlotte","Southeast","Spectrum Center",1988,19077,0
25,"Indiana Pacers","Indiana","Indianapolis","Central","Bankers Life Fieldhouse",1967,17923,0
26,"Cleveland Cavaliers","Ohio","Cleveland","Central","Quicken Loans Arena",1970,20562,1
27,"Orlando Magic","Florida","Orlando","Southeast","Amway Center",1989,18846,0
28,"San Antonio Spurs","Texas","San Antonio","Southwest","AT&T Center",1967,18418,5
29,"Phoenix Suns","Arizona","Phoenix","Pacific","Talking Stick Resort Arena",1968,18055,0
30,"Oklahoma City Thunder","Oklahoma","Oklahoma City","Northwest","Chesapeake Energy Arena",1967,18203,1
